"","District","Bed","Station","set_lat","set_lon","set_date","haul","Sampler","size_class","species_code","Basket","number","weight","Species"
"1","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",1,74120,"AA",10,1.5,"Weathervane scallop"
"2","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",1,74120,"ZZ",6,1.09,"Weathervane scallop"
"3","WKI","WK1","G34",59.82,-144.8,"2016-4-14",1,"JM",2,74120,"PP",2,0.01,"Weathervane scallop"
"4","WKI","WK1","H32",59.803,-144.872,"2016-4-14",2,"JM",1,74120,"XX",1,0.22,"Weathervane scallop"
"5","WKI","WK1","H32",59.803,-144.872,"2016-4-14",2,"JM",3,74120,"",NA,0.07,"Weathervane scallop"
"6","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"M",43,7.42,"Weathervane scallop"
"7","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"OO",10,1.7,"Weathervane scallop"
"8","WKI","WK1","L31",59.737,-144.887,"2016-4-16",3,"JM",1,74120,"",3,0.47,"Weathervane scallop"
"9","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",2,74120,"K",168,6.54,"Weathervane scallop"
"10","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",156,19.06,"Weathervane scallop"
"11","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",82,10.76,"Weathervane scallop"
"12","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",1,74120,"",4,0.34,"Weathervane scallop"
"13","WKI","WK1","H35",59.825,-144.721,"2016-4-17",4,"JM",3,74120,"",NA,4.06,"Empty shells"
"14","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",2,74120,"X",204,1.6,"Weathervane scallop"
"15","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",1,74120,"L",62,9.36,"Weathervane scallop"
"16","WKI","WK1","I35",59.8,-144.741,"2016-4-17",5,"JM",3,74120,"",NA,1.25,"Empty shells"
"17","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",2,74120,"AA",3,0.015,"Weathervane scallop"
"18","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",1,74120,"OO",15,3.08,"Weathervane scallop"
"19","WKI","WK1","K35",59.763,-144.745,"2016-4-17",7,"JM",3,74120,"",NA,0.03,"Empty shells"
"20","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",2,74120,"L",234,3.02,"Weathervane scallop"
"21","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",2,74120,"",117,1.58,"Weathervane scallop"
"22","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"F",110,18.86,"Weathervane scallop"
"23","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"",102,18.22,"Weathervane scallop"
"24","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",1,74120,"",123,20.61,"Weathervane scallop"
"25","WKI","WK1","L34",59.731,-144.801,"2016-4-17",8,"JM",3,74120,"",NA,0.5,"Empty shells"
"26","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",2,74120,"M",94,2,"Weathervane scallop"
"27","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",2,74120,"B",72,1,"Weathervane scallop"
"28","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",2,74120,"MM",84,1.34,"Weathervane scallop"
"29","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",2,74120,"F",73,0.36,"Weathervane scallop"
"30","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",2,74120,"AR",281,1.49,"Weathervane scallop"
"31","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"G",132,19.3,"Weathervane scallop"
"32","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"Z",124,19.82,"Weathervane scallop"
"33","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"H",94,13.46,"Weathervane scallop"
"34","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"K",118,17.1,"Weathervane scallop"
"35","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"",129,19.04,"Weathervane scallop"
"36","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"WD",8,0.87,"Weathervane scallop"
"37","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"MB",2,0.12,"Weathervane scallop"
"38","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",1,74120,"",2,0.24,"Weathervane scallop"
"39","WKI","WK1","M33",59.715,-144.818,"2016-4-17",9,"JM",3,74120,"",NA,0.38,"Empty shells"
"40","WKI","WK1","N33",59.701,-144.827,"2016-4-17",10,"JM",1,74120,"F",65,10.02,"Weathervane scallop"
"41","WKI","WK1","N33",59.701,-144.827,"2016-4-17",10,"JM",1,74120,"",3,0.39,"Weathervane scallop"
"42","WKI","WK1","N33",59.701,-144.827,"2016-4-17",10,"JM",3,74120,"",NA,0.2,"Empty shells"
"43","WKI","WK1","O32",59.686,-144.87,"2016-4-17",11,"JM",2,74120,"WD",1,0.01,"Weathervane scallop"
"44","WKI","WK1","O32",59.686,-144.87,"2016-4-17",11,"JM",1,74120,"",13,3.38,"Weathervane scallop"
"45","WKI","WK1","O32",59.686,-144.87,"2016-4-17",11,"JM",1,74120,"",1,0.1,"Weathervane scallop"
"46","WKI","WK1","O32",59.686,-144.87,"2016-4-17",11,"JM",3,74120,"",NA,0.23,"Weathervane scallop"
"47","WKI","WK1","I32",59.799,-144.846,"2016-4-18",15,"MDS",1,74120,"Z",2,0.56,"Weathervane scallop"
"48","WKI","WK1","I32",59.799,-144.846,"2016-4-18",15,"MDS",1,74120,"MH",1,0.21,"Weathervane scallop"
"49","WKI","WK1","I32",59.799,-144.846,"2016-4-18",15,"MDS",3,74120,"",NA,0.16,"Empty shells"
"50","WKI","WK1","J32",59.774,-144.863,"2016-4-18",16,"JM",1,74120,"",4,1.24,"Weathervane scallop"
"51","WKI","WK1","K32",59.766,-144.854,"2016-4-18",17,"JM",1,74120,"C",71,11.58,"Weathervane scallop"
"52","WKI","WK1","K32",59.766,-144.854,"2016-4-18",17,"JM",1,74120,"G",97,16.56,"Weathervane scallop"
"53","WKI","WK1","K32",59.766,-144.854,"2016-4-18",17,"JM",1,74120,"H",107,18,"Weathervane scallop"
"54","WKI","WK1","K32",59.766,-144.854,"2016-4-18",17,"JM",1,74120,"M",42,7.1,"Weathervane scallop"
"55","WKI","WK1","K32",59.766,-144.854,"2016-4-18",17,"JM",3,74120,"",NA,0.06,"Weathervane scallop"
"56","EKI","EK1","K07",59.761,-144.405,"2016-4-18",18,"JM",1,74120,"",15,4.82,"Weathervane scallop"
"57","EKI","EK1","K07",59.761,-144.405,"2016-4-18",18,"JM",3,74120,"",NA,2.84,"Empty shells"
"58","EKI","EK1","K07",59.761,-144.405,"2016-4-18",18,"JM",3,74120,"",NA,0.19,"Empty shells"
"59","EKI","EK1","L07",59.745,-144.403,"2016-4-18",19,"JM",2,74120,"",1,0.1,"Weathervane scallop"
"60","EKI","EK1","L07",59.745,-144.403,"2016-4-18",19,"JM",1,74120,"",15,3.72,"Weathervane scallop"
"61","EKI","EK1","L07",59.745,-144.403,"2016-4-18",19,"JM",3,74120,"",NA,2.02,"Empty shells"
"62","EKI","EK1","K10",59.755,-144.295,"2016-4-18",20,"JM",1,74120,"Q",8,2.02,"Weathervane scallop"
"63","EKI","EK1","K10",59.755,-144.295,"2016-4-18",20,"JM",3,74120,"",NA,0.79,"Empty shells"
"64","EKI","EK1","K10",59.755,-144.295,"2016-4-18",20,"JM",3,74120,"",2,0.29,"Clapper"
"65","EKI","EK1","J08",59.772,-144.368,"2016-4-18",21,"JM",2,74120,"",1,0.93,"Weathervane scallop"
"66","EKI","EK1","J08",59.772,-144.368,"2016-4-18",21,"JM",1,74120,"",6,1.47,"Weathervane scallop"
"67","EKI","EK1","J08",59.772,-144.368,"2016-4-18",21,"JM",3,74120,"",1,0.11,"Clapper"
"68","EKI","EK1","J08",59.772,-144.368,"2016-4-18",21,"JM",3,74120,"",NA,2.9,"Empty shells"
"69","EKI","EK1","K04",59.761,-144.498,"2016-4-19",22,"JM",1,74120,"",18,4.28,"Weathervane scallop"
"70","EKI","EK1","K04",59.761,-144.498,"2016-4-19",22,"JM",1,74120,"",1,0.16,"Weathervane scallop"
"71","EKI","EK1","K04",59.761,-144.498,"2016-4-19",22,"JM",3,74120,"",1,0.15,"Clapper"
"72","EKI","EK1","K04",59.761,-144.498,"2016-4-19",22,"JM",3,74120,"",NA,2.32,"Empty shells"
"73","EKI","EK1","J05",59.775,-144.469,"2016-4-19",23,"JM",1,74120,"Q",36,7.6,"Weathervane scallop"
"74","EKI","EK1","J05",59.775,-144.469,"2016-4-19",23,"JM",1,74120,"MB",4,1.15,"Weathervane scallop"
"75","EKI","EK1","J05",59.775,-144.469,"2016-4-19",23,"JM",3,74120,"",NA,1.9,"Empty shells"
"76","EKI","EK1","I06",59.786,-144.422,"2016-4-19",24,"JM",1,74120,"",15,3.11,"Weathervane scallop"
"77","EKI","EK1","I06",59.786,-144.422,"2016-4-19",24,"JM",3,74120,"",NA,0.82,"Empty shells"
"78","EKI","EK1","H07",59.802,-144.387,"2016-4-19",25,"JM",1,74120,"",59,13.88,"Weathervane scallop"
"79","EKI","EK1","H07",59.802,-144.387,"2016-4-19",25,"JM",1,74120,"H",36,7.96,"Weathervane scallop"
"80","EKI","EK1","H07",59.802,-144.387,"2016-4-19",25,"JM",1,74120,"",1,0.17,"Weathervane scallop"
"81","EKI","EK1","H07",59.802,-144.387,"2016-4-19",25,"JM",3,74120,"",NA,0.8,"Empty shells"
"82","EKI","EK1","G09",59.819,-144.331,"2016-4-19",26,"JM",1,74120,"",100,22.58,"Weathervane scallop"
"83","EKI","EK1","G09",59.819,-144.331,"2016-4-19",26,"JM",1,74120,"",100,22.26,"Weathervane scallop"
"84","EKI","EK1","G09",59.819,-144.331,"2016-4-19",26,"JM",1,74120,"F",19,4.3,"Weathervane scallop"
"85","EKI","EK1","G09",59.819,-144.331,"2016-4-19",26,"JM",3,74120,"",NA,0.54,"Empty shells"
"86","EKI","EK1","F09",59.836,-144.32,"2016-4-19",27,"JM",1,74120,"",9,2.16,"Weathervane scallop"
"87","EKI","EK1","F09",59.836,-144.32,"2016-4-19",27,"JM",1,74120,"",1,0.25,"Weathervane scallop"
"88","EKI","EK1","E10",59.85,-144.299,"2016-4-19",28,"JM",1,74120,"G",7,1.88,"Weathervane scallop"
"89","EKI","EK1","E10",59.85,-144.299,"2016-4-19",28,"JM",3,74120,"",NA,0.06,"Empty shells"
"90","EKI","EK1","H13",59.814,-144.206,"2016-4-19",29,"JM",1,74120,"",34,15.7,"Weathervane scallop"
"91","EKI","EK1","H13",59.814,-144.206,"2016-4-19",29,"JM",1,74120,"",1,0.28,"Weathervane scallop"
"92","EKI","EK1","H13",59.814,-144.206,"2016-4-19",29,"JM",3,74120,"",NA,2.54,"Empty shells"
"93","EKI","EK1","I09",59.789,-144.331,"2016-4-20",30,"QTS",1,74120,"T",8,2.46,"Weathervane scallop"
"94","EKI","EK1","I09",59.789,-144.331,"2016-4-20",30,"QTS",1,74120,"",1,0.43,"Weathervane scallop"
"95","EKI","EK1","I09",59.789,-144.331,"2016-4-20",30,"QTS",3,74120,"",NA,1.8,"Empty shells"
"96","EKI","EK1","H10",59.803,-144.294,"2016-4-20",31,"QTS",1,74120,"",2,0.44,"Weathervane scallop"
"97","EKI","EK1","H10",59.803,-144.294,"2016-4-20",31,"QTS",3,74120,"",NA,1.04,"Empty shells"
"98","EKI","EK1","G12",59.824,-144.229,"2016-4-20",32,"QTS",1,74120,"O",6,1.96,"Weathervane scallop"
"99","EKI","EK1","G12",59.824,-144.229,"2016-4-20",32,"QTS",3,74120,"",NA,1.28,"Empty shells"
"100","EKI","EK1","F12",59.837,-144.233,"2016-4-20",33,"QTS",1,74120,"",58,14.12,"Weathervane scallop"
"101","EKI","EK1","F12",59.837,-144.233,"2016-4-20",33,"QTS",3,74120,"",NA,0.82,"Empty shells"
"102","EKI","EK1","E13",59.856,-144.199,"2016-4-20",34,"QTS",1,74120,"A",70,19.14,"Weathervane scallop"
"103","EKI","EK1","E13",59.856,-144.199,"2016-4-20",34,"QTS",1,74120,"",6,1.4,"Weathervane scallop"
"104","EKI","EK1","E13",59.856,-144.199,"2016-4-20",34,"QTS",1,74120,"",1,0.3,"Weathervane scallop"
"105","EKI","EK1","E13",59.856,-144.199,"2016-4-20",34,"QTS",3,74120,"",NA,5.16,"Empty shells"
"106","EKI","EK1","E16",59.856,-144.096,"2016-4-20",35,"QTS",1,74120,"",3,1.02,"Weathervane scallop"
"107","EKI","EK1","E16",59.856,-144.096,"2016-4-20",35,"QTS",3,74120,"",NA,1.35,"Empty shells"
"108","EKI","EK1","F18",59.836,-144.023,"2016-4-20",36,"JM",2,74120,"BB",1,0.01,"Empty shells"
"109","EKI","EK1","F18",59.836,-144.023,"2016-4-20",36,"JM",1,74120,"",47,14.24,"Weathervane scallop"
"110","EKI","EK1","F18",59.836,-144.023,"2016-4-20",36,"JM",3,74120,"",NA,0.32,"Empty shells"
"111","EKI","EK1","G18",59.832,-144.003,"2016-4-20",37,"JM",1,74120,"",15,4.6,"Weathervane scallop"
"112","EKI","EK1","G18",59.832,-144.003,"2016-4-20",37,"JM",3,74120,"",2,0.24,"Clapper"
"113","EKI","EK1","G18",59.832,-144.003,"2016-4-20",37,"JM",3,74120,"",NA,0.58,"Empty shells"
"114","EKI","EK1","H16",59.816,-144.067,"2016-4-20",38,"MDS",2,74120,"FF",1,0.01,"Weathervane scallop"
"115","EKI","EK1","H16",59.816,-144.067,"2016-4-20",38,"MDS",1,74120,"N",21,6.04,"Weathervane scallop"
"116","EKI","EK1","H16",59.816,-144.067,"2016-4-20",38,"MDS",3,74120,"",NA,3.16,"Empty shells"
"117","EKI","EK1","L04",59.744,-144.495,"2016-4-21",39,"MDS",1,74120,"",21,5.06,"Weathervane scallop"
"118","EKI","EK1","L04",59.744,-144.495,"2016-4-21",39,"MDS",3,74120,"",1,0.11,"Clapper"
"119","EKI","EK1","L04",59.744,-144.495,"2016-4-21",39,"MDS",3,74120,"",NA,1.96,"Empty shells"
"120","EKI","EK1","J11",59.773,-144.264,"2016-4-21",40,"JM",1,74120,"",8,1.91,"Weathervane scallop"
"121","EKI","EK1","J11",59.773,-144.264,"2016-4-21",40,"JM",3,74120,"",2,0.55,"Clapper"
"122","EKI","EK1","J11",59.773,-144.264,"2016-4-21",40,"JM",3,74120,"",NA,0.46,"Empty shells"
"123","EKI","EK1","I12",59.787,-144.224,"2016-4-21",41,"JM",1,74120,"",16,4.61,"Weathervane scallop"
"124","EKI","EK1","I12",59.787,-144.224,"2016-4-21",41,"JM",3,74120,"",4,0.77,"Clapper"
"125","EKI","EK1","I12",59.787,-144.224,"2016-4-21",41,"JM",3,74120,"",NA,1.56,"Empty shells"
"126","EKI","EK1","J14",59.781,-144.162,"2016-4-21",42,"JM",1,74120,"",12,3.4,"Weathervane scallop"
"127","EKI","EK1","J14",59.781,-144.162,"2016-4-21",42,"JM",3,74120,"",2,1.07,"Clapper"
"128","EKI","EK1","J14",59.781,-144.162,"2016-4-21",42,"JM",3,74120,"",NA,1.18,"Empty shells"
"129","EKI","EK1","I15",59.79,-144.131,"2016-4-21",43,"JM",2,74120,"M",2,0.09,"Weathervane scallop"
"130","EKI","EK1","I15",59.79,-144.131,"2016-4-21",43,"JM",1,74120,"",6,1.48,"Weathervane scallop"
"131","EKI","EK1","I15",59.79,-144.131,"2016-4-21",43,"JM",3,74120,"",NA,1.36,"Empty shells"
"132","EKI","EK1","J18",59.779,-144,"2016-4-21",44,"JM",2,74120,"",1,0.086,"Weathervane scallop"
"133","EKI","EK1","J18",59.779,-144,"2016-4-21",44,"JM",1,74120,"",31,8.56,"Weathervane scallop"
"134","EKI","EK1","J18",59.779,-144,"2016-4-21",44,"JM",3,74120,"",6,1.21,"Clapper"
"135","EKI","EK1","J18",59.779,-144,"2016-4-21",44,"JM",3,74120,"",NA,1.18,"Empty shells"
"136","EKI","EK1","I17",59.793,-144.039,"2016-4-21",45,"MDS",2,74120,"",1,0.01,"Weathervane scallop"
"137","EKI","EK1","I17",59.793,-144.039,"2016-4-21",45,"MDS",1,74120,"",13,3.74,"Weathervane scallop"
"138","EKI","EK1","I17",59.793,-144.039,"2016-4-21",45,"MDS",3,74120,"",NA,1.88,"Weathervane scallop"
"139","EKI","EK1","G15",59.82,-144.129,"2016-4-21",46,"JM",1,74120,"",33,11.06,"Weathervane scallop"
"140","EKI","EK1","G15",59.82,-144.129,"2016-4-21",46,"JM",3,74120,"",NA,0.7,"Empty shells"
"141","EKI","EK1","F15",59.845,-144.129,"2016-4-21",47,"QTS",1,74120,"",4,1.03,"Weathervane scallop"
"142","EKI","EK1","F15",59.845,-144.129,"2016-4-21",47,"QTS",3,74120,"",NA,0.19,"Empty shells"
"143","EKI","EK1","D16",59.872,-144.097,"2016-4-21",48,"QTS",3,74120,"",NA,0.49,"Empty shells"
